id,name,synonyms,country,track,size
2300,Macquarie Australia,Macquarie,Australia,Energy,18
2395,Melbourne,,Australia,,11
2417,Sydney Australia,Sydney,Australia,Therapeutics,11
2294,BOKU Vienna,"BOKU,Vienna",Austria,Foundational Advance,22
2348,NAWI Graz,,Austria,Information Processing,19
2263,KU Leuven,,Belgium,New Application,16
2341,UCLouvain,,Belgium,,14
2457,Amazonas Brazil,Amazonas,Brazil,Foundational Advance,25
2270,AQA Unesp,AQA,Brazil,Therapeutics,17
2486,USP Brazil,,Brazil,New Application,22
2515,Bulgaria,,Bulgaria,,4
2433,British Columbia,,Canada,,14
2260,Calgary,,Canada,,31
2331,Dalhousie,,Canada,,21
2443,Lethbridge,,Canada,,24
2481,Lethbridge HS,Lethbridge High School,Canada,High School,17
2493,McMaster II,McMaster Two,Canada,,12
2470,McMasterU,McMaster,Canada,,31
2484,Queens Canada,Queens,Canada,,15
2469,Toronto,,Canada,,13
2490,U of Guelph,Guelph,Canada,,7
2389,UAlberta,Alberta,Canada,Foundational Advance,14
2236,UNBC Canada,UNBC,Canada,Therapeutics,11
2327,uOttawa,Ottowa,Canada,,11
2397,UrbanTundra Edmonton,Edmonton,Canada,High School,17
2475,Waterloo,,Canada,,21
2454,PASantiago Chile,,Chile,High School,22
2289,UChile Biotec,,Chile,,18
2425,UChile OpenBio CeBiB,,Chile,Environment,15
2509,ASTWS China,ASTWS,China,High School,13
2371,BGIC Union,BGIC,China,High School,14
2305,BIT,"Beijing,Beijing Institute of Technology",China,Diagnostics,35
2368,BIT China,,China,Food & Nutrition,26
2326,BNDS China,BNDS,China,High School,14
2220,BNU China,BNU,China,,26
2281,CIEI BJ,,China,High School,17
2322,CIEI China,,China,High School,17
2506,CPU CHINA,CPU,China,Therapeutics,14
2308,ECUST,,China,Energy,21
2384,FAFU CHINA,FAFU,China,,27
2446,Fudan,,China,Information Processing,12
2460,Fudan China,,China,Information Processing,10
2415,GZHS United,GZHS,China,High School,11
2304,HBUT China,HBUT,China,Environment,23
2346,HFLS H2Z Hangzhou,HFLS,China,High School,15
2466,HFUT China,HFUT,China,Software,20
